HMDB ID	KEGG ID	reference acc.
HMDB10081	C00626	HMDB0010081
HMDB0010081	C00626	HMDB0010081
HMDB10082	C00626	HMDB0010082
HMDB0010082	C00626	HMDB0010082
HMDB10083	C00626	HMDB0010083
HMDB0010083	C00626	HMDB0010083
HMDB10084	C00626	HMDB0010084
HMDB0010084	C00626	HMDB0010084
HMDB10085	C00626	HMDB0010085
HMDB0010085	C00626	HMDB0010085
HMDB10086	C00626	HMDB0010086
HMDB0010086	C00626	HMDB0010086
HMDB10087	C00626	HMDB0010087
HMDB0010087	C00626	HMDB0010087
HMDB10088	C00626	HMDB0010088
HMDB0010088	C00626	HMDB0010088
HMDB10089	C00626	HMDB0010089
HMDB0010089	C00626	HMDB0010089
HMDB10090	C00626	HMDB0010090
HMDB0010090	C00626	HMDB0010090
HMDB10091	C00626	HMDB0010091
HMDB0010091	C00626	HMDB0010091
HMDB10092	C00626	HMDB0010092
HMDB0010092	C00626	HMDB0010092
HMDB10093	C00626	HMDB0010093
HMDB0010093	C00626	HMDB0010093
HMDB10094	C00626	HMDB0010094
HMDB0010094	C00626	HMDB0010094
HMDB10095	C00626	HMDB0010095
HMDB0010095	C00626	HMDB0010095
HMDB10096	C00626	HMDB0010096
HMDB0010096	C00626	HMDB0010096
HMDB10097	C00626	HMDB0010097
HMDB0010097	C00626	HMDB0010097
HMDB10098	C00626	HMDB0010098
HMDB0010098	C00626	HMDB0010098
HMDB10099	C00626	HMDB0010099
HMDB0010099	C00626	HMDB0010099
HMDB10100	C00626	HMDB0010100
HMDB0010100	C00626	HMDB0010100
HMDB10101	C00626	HMDB0010101
HMDB0010101	C00626	HMDB0010101
HMDB10102	C00626	HMDB0010102
HMDB0010102	C00626	HMDB0010102
HMDB10103	C00626	HMDB0010103
HMDB0010103	C00626	HMDB0010103
HMDB10104	C00626	HMDB0010104
HMDB0010104	C00626	HMDB0010104
HMDB10105	C00626	HMDB0010105
HMDB0010105	C00626	HMDB0010105
HMDB10106	C00626	HMDB0010106
HMDB0010106	C00626	HMDB0010106
HMDB10107	C00626	HMDB0010107
HMDB0010107	C00626	HMDB0010107
HMDB10108	C00626	HMDB0010108
HMDB0010108	C00626	HMDB0010108
HMDB10109	C00626	HMDB0010109
HMDB0010109	C00626	HMDB0010109
HMDB10110	C00626	HMDB0010110
HMDB0010110	C00626	HMDB0010110
HMDB10111	C00626	HMDB0010111
HMDB0010111	C00626	HMDB0010111
HMDB10112	C00626	HMDB0010112
HMDB0010112	C00626	HMDB0010112
HMDB10113	C00626	HMDB0010113
HMDB0010113	C00626	HMDB0010113
HMDB10114	C00626	HMDB0010114
HMDB0010114	C00626	HMDB0010114
HMDB10115	C00626	HMDB0010115
HMDB0010115	C00626	HMDB0010115
HMDB10116	C00626	HMDB0010116
HMDB0010116	C00626	HMDB0010116
HMDB10117	C00626	HMDB0010117
HMDB0010117	C00626	HMDB0010117
HMDB10118	C00626	HMDB0010118
HMDB0010118	C00626	HMDB0010118
HMDB10119	C00626	HMDB0010119
HMDB0010119	C00626	HMDB0010119
HMDB10120	C00626	HMDB0010120
HMDB0010120	C00626	HMDB0010120
HMDB10121	C00626	HMDB0010121
HMDB0010121	C00626	HMDB0010121
HMDB10122	C00626	HMDB0010122
HMDB0010122	C00626	HMDB0010122
HMDB10123	C00626	HMDB0010123
HMDB0010123	C00626	HMDB0010123
HMDB10124	C00626	HMDB0010124
HMDB0010124	C00626	HMDB0010124
HMDB10125	C00626	HMDB0010125
HMDB0010125	C00626	HMDB0010125
HMDB10126	C00626	HMDB0010126
HMDB0010126	C00626	HMDB0010126
HMDB10127	C00626	HMDB0010127
HMDB0010127	C00626	HMDB0010127
HMDB10128	C00626	HMDB0010128
HMDB0010128	C00626	HMDB0010128
HMDB10129	C00626	HMDB0010129
HMDB0010129	C00626	HMDB0010129
HMDB10130	C00626	HMDB0010130
HMDB0010130	C00626	HMDB0010130
HMDB10131	C00626	HMDB0010131
HMDB0010131	C00626	HMDB0010131
HMDB10132	C00626	HMDB0010132
HMDB0010132	C00626	HMDB0010132
HMDB10133	C00626	HMDB0010133
HMDB0010133	C00626	HMDB0010133
HMDB10134	C00626	HMDB0010134
HMDB0010134	C00626	HMDB0010134
HMDB10135	C00626	HMDB0010135
HMDB0010135	C00626	HMDB0010135
HMDB10136	C00626	HMDB0010136
HMDB0010136	C00626	HMDB0010136
HMDB10137	C00626	HMDB0010137
HMDB0010137	C00626	HMDB0010137
HMDB10138	C00626	HMDB0010138
HMDB0010138	C00626	HMDB0010138
HMDB10139	C00626	HMDB0010139
HMDB0010139	C00626	HMDB0010139
HMDB10140	C00626	HMDB0010140
HMDB0010140	C00626	HMDB0010140
HMDB10141	C00626	HMDB0010141
