KEGG ID	MAPs
C01005	map01230
C00214	map00240
C00214	map01100
C06124	map00600
C06124	map01100
C06124	map04020
C06124	map04071
C06124	map04072
C06124	map04080
C06124	map04371
C06124	map04666
C06124	map05152
C00449	map00300
C00449	map00310
C00449	map01100
C00449	map01110
C00449	map01230
C00119	map00030
C00119	map00230
C00119	map00240
C00119	map00340
C00119	map00400
C00119	map00790
C00119	map01060
C00119	map01065
C00119	map01070
C00119	map01100
C00119	map01110
C00119	map01120
C00119	map01200
C00119	map01230
C00119	map01523
C00121	map00030
C00121	map01100
C00121	map02010
C00121	map02030
C00075	map00240
C00075	map01100
C00075	map04080
C00029	map00040
C00029	map00052
C00029	map00053
C00029	map00240
C00029	map00500
C00029	map00520
C00029	map00524
C00029	map00561
C00029	map00908
C00029	map01051
C00029	map01060
C00029	map01100
C00029	map01110
C00105	map00240
C00105	map01100
C00366	map00230
C00366	map01100
C00366	map01120
C00366	map04976
C00043	map00520
C00043	map00524
C00043	map00540
C00043	map00550
C00043	map01100
C00043	map01502
C00043	map04931
C05584	map00350
C05584	map01100
C00385	map00230
C00385	map00232
C00385	map01060
C00385	map01065
C00385	map01100
C00385	map01110
C00385	map01120
C00700	map00230
C00700	map01100
C00086	map00220
C00086	map00230
C00086	map00240
C00086	map00330
C00086	map00780
C00086	map00791
C00086	map01100
C00086	map01120
C00086	map02010
C00086	map05120
C00015	map00240
C00015	map00908
C00015	map01100
C00015	map04080
C00299	map00240
C00299	map01100
C00299	map02010
C01762	map00230
C01762	map00232
C01762	map01065
C01762	map01100
C01762	map01110
C01762	map02010
C00106	map00240
C00106	map00410
C00106	map00770
C00106	map01100
C00785	map00340
C00785	map01100
C00052	map00052
C00052	map00520
C00052	map01100
C00398	map00380
C00398	map00901
C00398	map01060
C00398	map01063
C00398	map01100
C00398	map01110
C00398	map04080
C00203	map00520
C00203	map01100
C19962	
C00483	map00350
C00483	map00680
C00483	map00950
C00483	map01060
C00483	map01063
C00483	map01100
C00483	map01110
C00483	map04080
C00483	map04974
C05300	map00140
C05300	map01100
C06390  	
C05576	map00350
C05576	map01100
C01124	map00140
C01124	map01100
C01124	map04925
C02360	
C05301	map00140
C05301	map04913
C05298	map00140
C05139	map00140
C03761	
C17660	map00121
C05138	map00140
C05138	map01100
C05138	map04913
C05138	map04927
C05138	map04934
C17727	map00121
C07635	map00984
C07635	map01120
C05672	map00440
C05672	map01100
C14441	
C01176	map00140
C01176	map01100
C01176	map04913
C01176	map04927
C01176	map04934
C11457	map00360
C11457	map01100
C11457	map01120
C11457	map01220
C07632	
C00196	map00362
C00196	map00627
C00196	map01053
C00196	map01061
C00196	map01110
C00196	map01120
C00846	map00362
C00846	map01100
C00846	map01120
C00846	map01220
C02504	map00290
C02504	map00620
C02504	map01100
C02504	map01110
C02504	map01210
C02504	map01230
C05302	map00140
C14383	
C17646	map00121
C17726	map00121
C10447	map00350
C00815	
C02537	map00140
C05593	map00350
C05593	map00360
C05593	map00643
C05593	map01100
C05593	map01120
C03197	
C06768	
C12989   	
C15568	
C06104	map00930
C06104	map01100
C06104	map01120
C06104	map01220
C16741	map00310
C16741	map01100
C02356	map00270
C02356	map01100
C00542	
C01551	
C00076	map04010
C00076	map04012
C00076	map04014
C00076	map04015
C00076	map04020
C00076	map04022
C00076	map04024
C00076	map04062
C00076	map04064
C00076	map04066
C00076	map04070
C00076	map04072
C00076	map04114
C00076	map04141
C00076	map04152
C00076	map04210
C00076	map04211
C00076	map04217
C00076	map04218
C00076	map04260
C00076	map04261
